Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
2,,,,,,,-106.83636934,40.48206380,2032.552,Global,0.100,0.093,0.350,0.137,1.934,m,SINGLE,RTK,2026-05-20 13:51:39.2 UTC-06:00,2026-05-20 13:51:39.2 UTC-06:00,1,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
26,,,,,,,-106.83663723,40.48211040,2033.512,Global,0.130,0.110,0.310,0.170,1.934,m,SINGLE,RTK,2026-05-20 13:52:38.2 UTC-06:00,2026-05-20 13:52:38.2 UTC-06:00,1,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
50,,,,,,,-106.83692016,40.48214591,2035.325,Global,0.110,0.095,0.290,0.145,1.934,m,SINGLE,RTK,2026-05-20 13:54:09.0 UTC-06:00,2026-05-20 13:54:09.0 UTC-06:00,1,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
74,,,,,,,-106.83720832,40.48218195,2042.051,Global,0.100,0.096,0.330,0.139,1.934,m,SINGLE,RTK,2026-05-20 14:00:16.4 UTC-06:00,2026-05-20 14:00:16.4 UTC-06:00,1,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
98,,,,,,,-106.83747946,40.48223647,2045.189,Global,0.110,0.100,0.370,0.149,1.934,m,SINGLE,RTK,2026-05-20 14:03:43.6 UTC-06:00,2026-05-20 14:03:43.6 UTC-06:00,1,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
122,,,,,,,-106.83775298,40.48228413,2048.508,Global,0.110,0.089,0.320,0.141,1.934,m,SINGLE,RTK,2026-05-20 14:09:32.0 UTC-06:00,2026-05-20 14:09:32.0 UTC-06:00,1,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
144,,,,,,,-106.83800612,40.48232126,2049.195,Global,0.110,0.082,0.270,0.137,1.934,m,SINGLE,RTK,2026-05-20 14:11:04.8 UTC-06:00,2026-05-20 14:11:04.8 UTC-06:00,1,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
