Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
4,,,,,,,-106.8363693,40.4820638,2032.552,Global,0.1,0.093,0.35,0.137,1.934,m,SINGLE,RTK,2026-05-20 13:51:39.2 UTC-06:00,2026-05-20 13:51:39.2 UTC-06:00,1,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
52,,,,,,,-106.8366372,40.4821104,2033.512,Global,0.13,0.11,0.31,0.17,1.934,m,SINGLE,RTK,2026-05-20 13:52:38.2 UTC-06:00,2026-05-20 13:52:38.2 UTC-06:00,1,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
100,,,,,,,-106.8369202,40.48214591,2035.325,Global,0.11,0.095,0.29,0.145,1.934,m,SINGLE,RTK,2026-05-20 13:54:09.0 UTC-06:00,2026-05-20 13:54:09.0 UTC-06:00,1,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
148,,,,,,,-106.8372083,40.48218195,2042.051,Global,0.1,0.096,0.33,0.139,1.934,m,SINGLE,RTK,2026-05-20 14:00:16.4 UTC-06:00,2026-05-20 14:00:16.4 UTC-06:00,1,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
196,,,,,,,-106.8374795,40.48223647,2045.189,Global,0.11,0.1,0.37,0.149,1.934,m,SINGLE,RTK,2026-05-20 14:03:43.6 UTC-06:00,2026-05-20 14:03:43.6 UTC-06:00,1,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
244,,,,,,,-106.837753,40.48228413,2048.508,Global,0.11,0.089,0.32,0.141,1.934,m,SINGLE,RTK,2026-05-20 14:09:32.0 UTC-06:00,2026-05-20 14:09:32.0 UTC-06:00,1,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
288,,,,,,,-106.8380061,40.48232126,2049.195,Global,0.11,0.082,0.27,0.137,1.934,m,SINGLE,RTK,2026-05-20 14:11:04.8 UTC-06:00,2026-05-20 14:11:04.8 UTC-06:00,1,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
