x z velocity
11.13 2038.17 200.63
38.52 2040.55 132.51
5.68 2038.42 112.37
39.90 2040.18 144.95
8.42 2038.28 209.43
11.68 2038.64 126.19
41.87 2040.63 105.46
11.86 2038.60 127.34
42.17 2040.72 104.73
41.50 2040.69 105.69
5.20 2038.36 121.70
4.27 2037.92 190.95
42.04 2040.57 105.70
44.50 2040.72 150.16
43.15 2040.73 110.46
43.16 2040.45 120.24
44.68 2040.23 187.14
42.50 2040.68 105.20
46.85 2040.79 127.34
44.04 2040.56 133.03
2.23 2037.67 173.85
40.44 2040.28 131.92
44.35 2040.64 145.47
33.06 2039.90 150.81
44.83 2040.68 159.24
45.81 2040.65 161.97
39.63 2040.52 128.84
45.31 2040.63 163.74
31.66 2040.23 126.70
28.90 2039.92 172.67
46.02 2040.54 157.73
35.95 2040.34 103.67
46.40 2040.65 148.09
47.04 2040.71 124.40
36.21 2040.00 119.12
46.53 2040.78 137.42
28.83 2040.24 136.81
46.21 2040.71 150.11
40.68 2040.31 132.01
44.18 2040.72 141.80
15.18 2039.08 154.61
45.48 2040.72 163.75
25.35 2040.02 163.29
19.44 2039.18 156.42
20.68 2039.50 167.35
29.51 2040.25 112.90
22.47 2039.83 159.40
29.66 2039.93 143.39
29.87 2039.88 144.57
31.82 2040.02 136.62
30.47 2039.88 140.20
30.83 2040.27 112.49
28.69 2039.96 172.56
28.99 2040.11 127.48
27.00 2040.10 191.76
26.99 2039.90 200.75
34.24 2039.92 146.32
35.85 2040.17 108.62
33.52 2040.36 132.32
33.87 2040.10 138.65
32.68 2040.12 136.90
32.79 2039.85 151.72
33.53 2039.83 157.57
33.96 2040.27 123.38
31.51 2040.30 124.70
31.65 2040.06 135.56
37.52 2040.50 115.58
37.69 2040.18 131.07
37.91 2040.13 133.37
39.53 2040.35 136.18
36.67 2040.30 106.49
36.74 2040.09 121.82
35.52 2040.43 103.29
35.68 2040.20 108.28
41.18 2040.68 107.06
41.36 2040.41 115.20
41.60 2040.34 115.22
43.10 2039.66 272.20
42.21 2040.46 107.81
42.34 2040.61 105.21
39.18 2040.61 131.95
39.35 2040.38 136.00
45.16 2040.72 162.64
45.28 2040.43 173.46
46.45 2040.24 178.04
47.52 2040.86 113.34
45.15 2039.88 209.18
47.57 2040.09 191.42
44.37 2040.46 158.42
44.66 2040.60 156.15
42.84 2040.73 106.48
42.98 2040.49 118.60
0.84 2037.76 130.70
2.03 2037.67 170.33
4.49 2037.76 220.23
5.88 2038.22 134.26
3.86 2038.19 169.27
4.08 2037.92 187.93
2.61 2037.55 209.64
2.00 2037.85 155.76
8.88 2038.24 224.73
9.49 2038.81 173.01
7.83 2038.26 190.14
11.74 2038.11 196.30
7.39 2038.37 178.67
8.64 2038.12 217.62
7.18 2038.65 140.65
7.08 2038.27 173.91
5.52 2038.47 112.10
5.70 2038.24 131.85
10.72 2038.46 185.44
11.02 2038.72 127.51
11.37 2038.76 117.24
11.97 2038.36 176.75
9.36 2038.09 252.61
13.39 2038.39 175.94
25.20 2039.55 200.73
16.33 2039.11 137.88
15.10 2038.73 165.76
15.38 2038.94 154.99
13.68 2038.85 139.56
13.78 2038.63 158.24
11.81 2037.73 377.03
24.64 2038.15 581.93
22.58 2039.39 197.30
18.54 2039.01 128.05
20.18 2039.58 158.30
30.95 2038.65 444.75
16.06 2039.08 144.52
15.50 2038.43 198.08
13.67 2038.41 177.98
23.38 2039.62 152.63
28.16 2039.50 224.96
23.50 2039.95 122.25
18.38 2039.19 114.15
25.40 2039.39 209.16
19.67 2039.20 158.13
17.67 2038.62 199.58
17.69 2039.19 114.63
15.81 2038.46 200.44
23.19 2039.92 126.86
24.40 2039.66 155.15
24.03 2039.84 124.27
27.32 2040.12 193.32
25.84 2040.15 181.38
25.68 2040.04 177.04
14.59 2038.00 232.61
22.29 2039.36 193.70
21.80 2039.25 189.05
17.95 2038.95 134.01
29.34 2040.11 117.94
29.44 2039.88 145.59
30.69 2039.94 138.09
31.01 2040.14 117.25
27.66 2039.70 217.82
30.35 2039.61 251.43
19.02 2039.32 120.12
31.66 2039.56 174.46
34.69 2040.22 114.45
