x z velocity
11.16 2038.19 204.32
38.52 2040.55 120.83
5.68 2038.42 101.85
39.90 2040.18 134.82
8.43 2038.28 190.39
11.69 2038.65 109.85
41.87 2040.63 101.30
11.87 2038.61 110.69
42.17 2040.72 101.04
41.50 2040.69 101.34
5.20 2038.36 104.54
4.27 2037.92 175.62
42.04 2040.57 101.36
44.50 2040.72 130.66
43.15 2040.73 102.23
43.16 2040.44 107.30
44.70 2040.21 184.42
42.50 2040.68 101.08
46.85 2040.79 113.16
44.05 2040.56 112.85
2.23 2037.67 165.30
40.44 2040.28 121.69
44.35 2040.63 125.07
33.06 2039.90 134.43
44.84 2040.68 142.21
45.82 2040.64 146.70
39.63 2040.52 118.12
45.32 2040.63 148.11
31.66 2040.23 110.58
28.90 2039.92 149.50
46.03 2040.52 147.57
35.95 2040.34 100.50
46.41 2040.64 135.79
47.04 2040.71 110.83
36.21 2040.00 106.68
46.53 2040.78 123.03
28.83 2040.24 112.55
46.21 2040.71 137.98
40.68 2040.30 122.02
44.19 2040.71 121.44
15.18 2039.08 149.02
45.48 2040.72 148.37
25.35 2040.02 146.45
19.44 2039.17 148.50
20.69 2039.49 154.20
29.51 2040.25 101.88
22.48 2039.82 143.94
29.66 2039.93 121.89
29.87 2039.88 123.35
31.82 2040.02 116.81
30.48 2039.88 119.74
30.83 2040.27 102.20
28.69 2039.96 149.53
28.99 2040.11 107.13
27.00 2040.10 199.48
26.99 2039.90 212.69
34.24 2039.92 121.65
35.85 2040.17 101.67
33.52 2040.36 111.78
33.87 2040.11 115.24
32.68 2040.12 121.06
32.79 2039.85 133.68
33.53 2039.83 152.17
33.96 2040.27 105.71
31.51 2040.30 109.02
31.65 2040.06 115.99
37.52 2040.50 104.05
37.69 2040.18 117.29
37.91 2040.14 119.81
39.53 2040.35 126.54
36.67 2040.30 101.11
36.74 2040.09 110.01
35.52 2040.43 100.44
35.68 2040.20 101.57
41.18 2040.68 101.73
41.36 2040.40 106.75
41.60 2040.34 106.74
43.13 2039.62 409.99
42.21 2040.45 102.11
42.34 2040.61 101.14
39.18 2040.61 122.52
39.35 2040.38 126.66
45.17 2040.72 147.15
45.29 2040.42 161.57
46.47 2040.22 193.97
47.52 2040.86 103.93
45.20 2039.83 212.82
47.58 2040.08 238.73
44.38 2040.44 141.19
44.67 2040.60 137.73
42.84 2040.73 101.20
42.98 2040.48 106.79
0.84 2037.76 123.40
2.03 2037.67 160.22
4.49 2037.76 208.17
5.88 2038.22 112.97
3.86 2038.19 154.60
4.08 2037.92 172.60
2.61 2037.55 203.92
2.00 2037.85 154.14
8.89 2038.25 207.49
9.49 2038.81 155.49
7.83 2038.26 178.12
11.77 2038.13 207.02
7.39 2038.37 175.10
8.66 2038.12 197.72
7.18 2038.65 120.10
7.09 2038.27 166.74
5.52 2038.47 101.77
5.70 2038.24 111.17
10.73 2038.47 171.89
11.03 2038.73 109.37
11.37 2038.76 104.07
11.98 2038.37 168.55
9.38 2038.10 246.00
13.41 2038.40 167.48
25.20 2039.55 230.14
16.33 2039.12 128.70
15.11 2038.74 160.73
15.38 2038.95 150.03
13.69 2038.85 122.25
13.79 2038.64 149.22
11.86 2037.76 445.53
24.67 2038.16 568.24
22.59 2039.37 213.35
18.55 2039.00 111.93
20.19 2039.58 142.92
30.95 2038.64 446.13
16.06 2039.09 141.54
15.53 2038.45 198.15
13.69 2038.41 169.77
23.39 2039.62 141.20
28.16 2039.50 251.70
23.50 2039.95 110.99
18.38 2039.19 103.68
25.40 2039.40 216.48
19.67 2039.19 150.04
17.67 2038.63 212.16
17.69 2039.19 104.47
15.83 2038.48 200.15
23.19 2039.92 113.77
24.40 2039.66 154.34
24.04 2039.84 113.47
27.32 2040.12 198.05
25.84 2040.15 179.47
25.68 2040.04 168.93
14.64 2038.02 234.96
22.31 2039.34 203.93
21.83 2039.22 182.00
17.95 2038.96 118.61
29.34 2040.11 103.36
29.44 2039.88 124.30
30.69 2039.94 118.61
31.01 2040.14 104.28
27.66 2039.70 249.02
30.35 2039.61 293.76
19.02 2039.32 106.38
31.67 2039.56 148.77
34.69 2040.22 102.85
34.79 2040.01 108.27
33.68 2040.30 110.33
33.70 2040.14 115.80
31.35 2040.17 107.15
31.90 2039.80 134.65
30.91 2039.91 120.37
33.90 2039.33 226.61
37.36 2040.35 103.36
37.49 2040.13 116.09
38.36 2040.39 117.10
38.45 2040.17 140.76
35.38 2040.30 100.80
35.94 2039.97 106.59
34.44 2039.67 130.30
38.69 2039.72 177.44
41.04 2040.54 103.88
41.16 2040.35 107.63
39.05 2040.47 124.42
39.63 2040.15 134.96
38.07 2039.86 168.51
43.00 2039.99 149.21
45.00 2040.59 147.11
45.09 2040.39 162.71
43.57 2040.23 130.18
46.78 2040.03 213.49
45.50 2040.33 161.26
42.68 2040.61 101.31
43.27 2040.22 128.55
41.67 2040.03 152.01
44.50 2039.92 199.66
1.52 2037.88 143.31
2.35 2037.49 198.61
1.91 2037.29 214.90
3.08 2037.44 236.77
4.68 2038.19 129.27
4.73 2037.91 240.00
3.73 2038.03 172.04
3.89 2037.84 185.86
2.19 2037.24 203.27
10.06 2038.13 225.41
1.87 2037.54 172.34
1.69 2037.81 146.83
9.09 2038.55 174.36
9.65 2038.71 151.21
9.10 2038.04 241.08
9.27 2038.54 176.67
6.25 2038.05 188.96
6.28 2037.37 534.81
5.38 2038.31 104.41
5.98 2038.01 186.26
4.98 2037.93 254.65
5.90 2037.40 506.62
9.91 2038.41 175.13
9.91 2037.77 310.13
11.50 2038.58 110.13
11.47 2038.30 194.69
14.23 2038.59 156.33
13.93 2038.08 219.37
20.60 2039.24 167.16
29.80 2039.30 279.49
17.72 2039.01 120.04
21.86 2039.80 159.06
20.07 2038.98 179.18
22.86 2039.82 128.70
15.89 2038.76 163.40
16.61 2038.88 151.85
27.18 2039.81 238.99
18.96 2038.56 255.96
21.53 2038.42 299.38
27.34 2039.93 228.67
27.16 2040.19 198.75
26.66 2039.94 192.68
25.51 2040.12 159.31
19.36 2039.35 116.01
25.95 2039.15 242.55
25.32 2039.17 251.33
24.91 2038.74 413.37
31.09 2039.65 161.46
29.30 2039.63 262.87
20.35 2039.50 146.26
33.80 2039.70 147.82
35.03 2040.04 108.14
31.46 2040.00 115.76
31.40 2039.72 153.29
36.67 2039.85 121.63
38.70 2040.21 141.03
35.50 2040.14 101.65
35.46 2039.87 111.50
40.38 2040.03 140.02
42.35 2040.17 134.11
39.17 2040.31 127.48
39.14 2040.05 145.75
44.98 2040.19 184.21
47.31 2039.35 405.91
46.55 2040.46 143.92
47.37 2040.75 105.32
47.89 2040.84 103.30
46.15 2040.22 190.06
45.51 2039.94 198.60
42.78 2040.43 106.62
42.70 2040.16 134.51
1.39 2037.74 135.46
1.04 2037.65 122.90
1.69 2037.62 163.58
1.50 2037.56 159.93
3.37 2037.74 228.83
7.08 2037.56 506.82
5.52 2038.15 110.73
7.68 2038.40 170.92
5.51 2037.88 252.37
24.59 2039.21 227.46
17.41 2038.93 131.83
16.37 2038.47 229.88
19.79 2038.98 176.79
22.21 2039.55 176.58
19.28 2038.24 383.07
24.30 2039.07 231.12
31.51 2038.91 526.19
19.37 2038.94 199.40
26.01 2038.51 484.47
33.53 2040.07 117.90
33.97 2039.91 122.81
47.19 2040.82 105.36
47.08 2040.53 133.05
46.74 2040.51 140.94
47.69 2040.52 123.27
47.02 2040.17 222.84
46.92 2040.42 140.92
1.11 2037.33 165.27
1.38 2037.30 172.97
7.38 2037.71 491.81
1.62 2037.10 225.86
7.57 2038.10 219.69
7.75 2038.06 224.53
3.80 2037.57 290.48
7.86 2037.05 806.44
27.20 2039.55 285.92
24.06 2039.31 231.45
24.60 2039.50 178.74
21.08 2039.01 195.76
25.05 2039.22 261.98
22.03 2039.57 171.52
16.30 2038.70 169.40
17.03 2038.82 154.86
31.76 2039.18 311.24
35.73 2039.74 113.25
1.36 2036.43 1289.26
47.43 2040.55 123.26
3.33 2037.28 244.76
0.75 2036.87 1371.56
0.61 2037.38 230.01
7.88 2037.81 303.83
8.21 2038.16 188.10
18.63 2037.54 642.21
18.59 2038.66 243.54
47.29 2040.44 132.44
47.74 2040.73 104.23
46.76 2039.65 317.51
47.74 2039.64 408.44
0.67 2037.63 135.64
0.93 2036.53 1328.69
8.16 2037.84 295.23
10.42 2038.13 238.61
8.46 2037.59 300.69
16.11 2036.77 819.39
26.28 2039.20 250.08
47.28 2040.19 226.13
47.84 2040.30 219.11
0.11 2037.68 484.98
0.86 2037.18 176.89
0.33 2037.33 257.21
0.27 2037.58 222.18
0.35 2036.84 1495.11
40.11 2039.95 143.16
39.57 2039.58 211.25
2.35 2036.94 378.77
3.51 2037.53 274.39
25.01 2039.45 244.99
34.46 2038.33 464.76
32.35 2039.52 173.26
32.68 2039.56 167.82
36.40 2039.78 117.80
35.88 2039.40 155.56
16.20 2037.86 396.87
16.69 2038.44 245.29
29.44 2039.32 285.07
24.28 2038.04 591.47
34.73 2039.74 127.85
35.21 2039.81 112.16
38.38 2039.89 170.45
38.89 2039.98 148.84
9.58 2037.78 304.73
19.67 2038.42 400.92
13.60 2037.79 277.61
20.78 2038.96 204.57
28.99 2039.67 286.00
33.26 2039.36 192.31
32.92 2039.25 178.88
37.31 2039.23 269.69
37.37 2039.89 140.77
40.74 2039.47 261.92
41.08 2040.11 138.23
43.95 2038.97 290.92
9.00 2037.71 310.55
9.30 2037.50 328.88
19.70 2039.39 127.84
25.78 2038.14 528.32
24.66 2038.55 388.99
25.36 2038.22 541.13
0.15 2036.08 2061.77
0.33 2036.32 2090.33
40.64 2039.87 141.29
41.34 2039.85 155.86
38.45 2038.96 299.95
42.08 2039.88 159.23
1.67 2036.72 831.44
5.21 2037.73 266.17
2.71 2036.98 385.31
4.69 2036.51 809.77
20.02 2038.33 377.57
26.89 2039.08 255.29
27.25 2038.32 481.31
22.04 2037.17 997.30
20.50 2039.61 150.46
35.03 2039.57 128.11
36.90 2039.68 135.90
37.52 2039.59 203.73
36.62 2039.11 239.46
37.59 2038.91 303.28
29.56 2038.57 333.67
19.60 2038.78 199.15
23.50 2038.99 313.23
25.03 2037.94 591.39
34.28 2039.29 235.40
34.64 2038.89 378.73
36.97 2039.31 285.18
37.90 2039.56 206.33
23.05 2039.74 125.79
18.18 2037.95 561.57
18.75 2039.12 115.22
32.66 2037.90 481.03
24.40 2039.90 111.69
23.15 2039.18 274.40
7.70 2037.54 508.07
11.77 2036.81 866.98
24.82 2039.59 209.77
