Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
1,,,,,,,-106.84988755,40.48787867,2042.355,Global,0.079,0.076,0.190,0.110,1.934,m,SINGLE,RTK,2026-05-21 13:16:11.4 UTC-06:00,2026-05-21 13:16:11.4 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
7,,,,,,,-106.84988566,40.48798515,2041.196,Global,0.079,0.075,0.190,0.109,1.934,m,SINGLE,RTK,2026-05-21 13:16:41.6 UTC-06:00,2026-05-21 13:16:41.6 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
13,,,,,,,-106.84988936,40.48809175,2040.513,Global,0.085,0.075,0.200,0.113,1.934,m,SINGLE,RTK,2026-05-21 13:17:16.4 UTC-06:00,2026-05-21 13:17:16.4 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
19,,,,,,,-106.84989228,40.48819928,2039.313,Global,0.083,0.077,0.200,0.113,1.934,m,SINGLE,RTK,2026-05-21 13:18:03.6 UTC-06:00,2026-05-21 13:18:03.6 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
25,,,,,,,-106.84988912,40.48829633,2039.218,Global,0.076,0.073,0.190,0.105,1.934,m,SINGLE,RTK,2026-05-21 13:19:47.0 UTC-06:00,2026-05-21 13:19:47.0 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
31,,,,,,,-106.84988971,40.48840466,2038.604,Global,0.082,0.078,0.200,0.113,1.934,m,SINGLE,RTK,2026-05-21 13:20:23.2 UTC-06:00,2026-05-21 13:20:23.2 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
37,,,,,,,-106.84989695,40.48851450,2036.291,Global,0.098,0.089,0.220,0.132,1.934,m,SINGLE,RTK,2026-05-21 13:21:32.8 UTC-06:00,2026-05-21 13:21:32.8 UTC-06:00,1,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
43,,,,,,,-106.84989459,40.48861732,2035.069,Global,0.130,0.100,0.240,0.164,1.934,m,SINGLE,RTK,2026-05-21 14:37:21.0 UTC-06:00,2026-05-21 14:37:21.0 UTC-06:00,1,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
49,,,,,,,-106.84989860,40.48872423,2035.348,Global,0.096,0.080,0.200,0.125,1.934,m,SINGLE,RTK,2026-05-21 14:37:50.0 UTC-06:00,2026-05-21 14:37:50.0 UTC-06:00,1,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
55,,,,,,,-106.84990221,40.48883195,2034.739,Global,0.150,0.130,0.260,0.198,1.934,m,SINGLE,RTK,2026-05-21 14:38:26.6 UTC-06:00,2026-05-21 14:38:26.6 UTC-06:00,1,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
61,,,,,,,-106.84990203,40.48893930,2035.745,Global,0.094,0.079,0.200,0.123,1.934,m,SINGLE,RTK,2026-05-21 14:39:06.4 UTC-06:00,2026-05-21 14:39:06.4 UTC-06:00,1,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
67,,,,,,,-106.84990516,40.48904747,2034.944,Global,0.110,0.110,0.260,0.156,1.934,m,SINGLE,RTK,2026-05-21 14:39:56.4 UTC-06:00,2026-05-21 14:39:56.4 UTC-06:00,1,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
72,,,,,,,-106.84991117,40.48913619,2032.820,Global,0.097,0.080,0.200,0.126,1.934,m,SINGLE,RTK,2026-05-21 14:41:10.6 UTC-06:00,2026-05-21 14:41:10.6 UTC-06:00,1,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,8243D61ABE0C1461
