x z velocity
52.32 2038.91 331.10
88.39 2034.24 212.85
102.94 2034.92 300.88
88.31 2034.93 200.10
85.32 2034.63 3190.26
89.37 2034.56 326.93
88.97 2034.81 285.16
89.73 2034.88 381.26
47.91 2038.46 278.37
44.31 2038.23 233.95
91.00 2035.00 330.42
28.31 2040.09 180.87
99.64 2035.13 297.04
103.16 2034.68 273.57
37.17 2038.49 116.94
84.99 2034.87 3995.41
110.31 2034.56 126.27
100.60 2034.77 298.72
98.35 2035.08 280.38
135.88 2033.96 179.36
81.67 2035.08 4000.00
137.63 2033.98 177.20
140.35 2033.53 111.75
22.59 2040.31 106.02
68.06 2035.87 337.58
133.99 2034.50 122.82
137.18 2033.84 179.34
25.24 2039.91 124.12
136.50 2034.12 176.18
18.54 2039.46 256.42
109.69 2034.55 111.50
136.33 2033.41 207.38
140.04 2033.35 122.76
8.31 2041.36 149.48
14.04 2040.41 152.03
80.34 2034.31 295.29
138.29 2033.97 170.93
83.92 2034.17 3999.67
138.88 2033.65 157.02
139.70 2033.59 131.62
17.61 2040.34 184.63
13.70 2041.03 116.59
137.91 2033.76 174.12
108.32 2034.54 106.90
14.11 2039.17 253.55
118.28 2035.22 225.41
136.27 2034.39 171.46
111.00 2034.47 147.41
48.56 2038.72 264.52
41.94 2038.55 197.49
111.69 2034.59 164.12
60.34 2038.62 660.01
113.41 2034.57 202.37
112.40 2034.56 181.95
41.68 2039.04 180.22
111.36 2034.26 156.39
69.85 2035.99 317.29
132.91 2034.88 112.06
133.25 2034.54 118.68
78.95 2035.33 366.45
71.14 2035.77 368.34
14.64 2040.70 140.24
114.38 2034.76 215.41
128.74 2034.45 183.93
114.77 2034.62 216.65
115.05 2034.92 216.97
61.07 2037.14 748.08
16.36 2040.83 167.18
113.69 2034.78 208.67
133.67 2034.70 117.81
110.64 2034.26 140.04
19.87 2039.97 209.19
108.67 2034.24 108.69
80.98 2035.02 3999.40
9.65 2041.25 124.25
42.29 2038.46 196.43
57.64 2037.85 539.27
92.07 2034.75 298.06
38.18 2036.66 902.33
57.01 2037.32 452.48
75.98 2035.46 580.11
56.38 2038.38 370.49
18.27 2039.94 204.06
92.71 2034.88 259.60
69.32 2035.20 429.47
25.00 2040.43 104.00
92.37 2035.05 270.93
100.28 2034.99 296.74
6.99 2041.50 173.57
138.13 2033.35 173.48
95.61 2035.10 219.70
112.04 2033.78 211.09
96.37 2035.01 224.02
93.70 2035.03 228.48
133.03 2034.01 209.10
97.04 2035.16 249.22
91.36 2034.73 311.84
91.70 2034.93 293.56
81.97 2034.88 4000.00
96.30 2033.45 420.68
71.95 2036.20 359.37
72.31 2036.38 350.09
95.98 2034.75 207.43
44.99 2039.00 213.80
70.93 2036.64 339.72
110.43 2033.77 174.85
69.72 2036.41 320.67
71.23 2036.31 353.45
40.34 2039.03 154.58
136.89 2034.19 176.58
71.63 2036.50 355.46
9.92 2040.63 161.85
75.65 2035.70 543.69
85.62 2033.95 120.98
11.65 2040.97 106.27
34.24 2038.72 161.20
74.17 2035.29 492.71
33.88 2038.85 177.84
85.30 2034.17 133.83
74.34 2036.04 387.98
86.30 2033.83 126.72
103.82 2034.47 248.13
87.66 2032.73 962.11
71.91 2035.74 392.88
30.96 2039.84 192.59
121.44 2034.50 240.58
69.35 2036.48 320.23
135.27 2034.26 168.07
97.38 2034.98 256.66
99.32 2034.98 294.24
28.39 2039.32 205.56
132.28 2035.05 107.57
88.00 2034.38 187.94
118.67 2034.99 227.75
107.26 2034.29 109.75
115.41 2034.78 217.08
96.75 2034.81 234.84
60.65 2038.41 515.12
128.39 2035.39 144.19
117.65 2035.24 223.83
54.00 2038.53 312.83
104.63 2033.99 297.36
119.05 2035.25 228.73
59.67 2038.59 621.06
128.03 2035.09 147.44
129.02 2035.42 136.57
119.67 2035.44 229.99
53.70 2039.05 292.84
129.32 2035.23 132.54
86.03 2032.08 224.70
122.40 2033.97 265.13
121.63 2035.48 227.30
120.27 2035.37 232.72
94.66 2035.01 242.91
109.02 2034.45 108.20
122.62 2035.13 218.62
120.58 2035.20 232.61
125.02 2035.46 192.51
122.99 2035.37 214.51
122.29 2035.52 221.71
132.52 2034.78 112.38
119.94 2035.21 230.77
99.92 2034.85 302.49
127.65 2035.35 153.55
127.27 2035.17 158.58
58.63 2038.03 420.26
62.62 2038.14 229.58
40.13 2038.40 209.10
123.35 2035.17 210.39
59.41 2037.50 696.72
124.02 2035.38 198.71
123.69 2035.57 202.95
38.69 2038.51 203.03
60.62 2038.00 1027.14
126.31 2035.54 172.07
126.96 2035.51 164.48
30.60 2039.41 210.20
59.31 2038.42 473.11
112.39 2033.33 243.58
130.27 2035.16 109.96
67.00 2037.56 354.11
17.31 2040.76 173.87
70.28 2035.99 320.61
9.93 2041.05 113.23
57.57 2038.36 270.42
105.98 2034.37 126.77
102.00 2034.73 328.13
90.70 2034.81 350.63
10.30 2040.55 151.45
3.62 2041.88 184.72
25.69 2039.31 240.12
4.27 2041.81 186.23
21.48 2039.29 315.77
99.25 2033.61 345.44
84.63 2034.22 3698.71
24.34 2040.38 104.29
25.29 2040.26 105.54
29.53 2039.08 251.19
30.35 2039.91 196.51
27.98 2039.47 198.31
28.62 2039.75 192.79
90.11 2034.71 394.28
90.74 2034.35 366.51
93.57 2033.85 298.43
95.03 2034.57 253.71
92.35 2034.30 288.84
93.00 2035.08 242.50
85.97 2034.16 115.38
90.37 2034.98 363.53
82.96 2034.87 4000.00
85.66 2034.85 395.83
79.25 2035.06 372.90
85.99 2034.60 104.39
84.15 2032.92 472.45
75.03 2035.14 510.24
74.64 2035.79 428.72
78.59 2035.19 361.14
106.98 2033.82 154.95
114.93 2033.73 250.51
106.33 2034.64 111.14
106.57 2033.95 159.15
101.67 2034.90 317.72
102.60 2034.80 308.44
132.96 2032.78 339.96
140.69 2033.26 110.52
139.24 2033.32 142.55
139.28 2031.45 403.97
134.94 2034.48 151.46
135.93 2034.30 171.07
129.67 2034.15 229.91
136.67 2032.19 296.45
134.26 2034.16 143.37
134.59 2034.39 145.35
131.03 2035.13 105.89
130.63 2034.89 108.58
116.35 2033.90 236.75
117.75 2034.71 228.15
115.09 2034.19 227.03
115.69 2034.99 215.97
113.06 2034.73 198.63
113.51 2034.12 218.96
109.37 2034.26 110.82
109.60 2033.78 173.85
99.02 2035.15 290.15
99.30 2034.62 306.26
98.13 2034.03 335.22
102.54 2034.47 346.52
100.68 2034.35 308.79
101.32 2034.73 312.16
97.44 2034.56 286.21
98.02 2034.91 274.83
94.36 2035.16 248.04
94.67 2034.65 264.32
76.59 2035.09 940.90
87.98 2033.37 380.70
82.29 2035.03 4000.00
87.64 2034.27 167.26
120.97 2035.48 231.17
121.87 2034.75 237.56
127.20 2034.12 216.59
126.57 2034.83 183.07
123.60 2034.71 210.96
124.32 2035.59 195.48
119.39 2035.15 229.13
119.66 2034.92 229.51
120.67 2034.74 242.30
121.92 2035.27 223.99
117.04 2035.17 222.33
117.39 2034.74 227.46
