x z velocity
80.35 2033.74 214.46
104.54 2034.78 231.02
82.01 2033.69 217.07
81.04 2033.71 215.92
119.91 2037.63 156.05
78.30 2033.71 303.37
112.95 2036.73 146.59
96.12 2034.41 104.11
82.97 2033.79 212.05
83.67 2033.90 205.51
78.57 2033.49 258.64
0.99 2032.38 100.66
84.35 2033.86 198.44
0.22 2031.18 256.12
86.25 2033.98 188.09
85.63 2034.04 194.14
0.78 2032.11 101.96
84.02 2033.65 201.68
112.31 2036.72 155.42
82.31 2033.86 215.25
23.00 2033.06 118.80
79.28 2033.36 227.42
35.61 2033.26 220.29
88.02 2033.93 144.06
87.70 2034.11 153.24
0.72 2031.83 114.99
47.63 2033.37 175.12
27.45 2032.86 255.58
90.04 2034.04 114.24
54.96 2032.71 231.79
91.04 2034.23 106.28
90.34 2034.27 109.23
2.31 2031.65 160.60
89.02 2034.08 129.19
41.87 2032.68 166.96
91.72 2034.38 103.42
91.43 2034.05 105.97
92.07 2034.21 102.92
1.15 2032.47 100.66
1.17 2032.16 102.44
95.36 2034.28 102.75
0.68 2032.30 100.65
94.96 2034.60 101.69
94.31 2034.63 101.10
1.79 2031.60 158.06
95.74 2034.57 102.96
1.00 2031.68 118.68
87.01 2033.92 171.13
0.39 2031.69 115.31
96.38 2034.78 107.49
96.72 2034.64 109.19
70.58 2033.06 101.94
2.22 2032.38 102.58
0.99 2032.19 102.10
97.68 2034.83 121.54
0.28 2032.22 100.58
99.70 2034.88 214.15
98.98 2035.01 174.53
1.59 2031.95 114.91
98.66 2034.79 156.33
0.84 2032.46 100.57
0.50 2032.39 100.55
100.38 2035.15 222.77
100.73 2034.99 228.29
12.30 2032.37 248.77
48.24 2033.29 175.17
101.71 2035.21 248.56
86.59 2033.64 179.24
105.03 2035.60 232.93
104.64 2035.33 233.24
1.25 2031.93 114.08
107.68 2033.72 253.40
4.60 2032.08 229.80
100.08 2034.71 209.93
1.29 2032.35 101.05
106.10 2035.57 228.82
1.49 2031.22 235.79
103.93 2035.40 246.65
55.59 2033.26 217.51
105.70 2035.78 230.85
106.39 2035.81 221.45
71.00 2033.31 101.91
62.98 2033.21 183.62
94.60 2034.41 101.65
107.65 2036.08 209.83
108.28 2036.07 203.38
62.24 2033.30 194.75
106.76 2035.70 219.47
87.38 2033.73 164.76
109.46 2035.93 202.79
109.73 2036.32 202.73
130.96 2039.46 300.64
103.65 2035.59 263.58
120.27 2037.83 159.91
113.33 2036.46 140.77
12.54 2032.69 235.48
113.71 2036.76 134.18
112.60 2036.52 150.19
138.71 2040.44 101.30
110.09 2036.18 201.50
79.68 2033.61 218.72
109.07 2036.07 202.07
7.94 2032.42 431.11
27.74 2032.40 226.82
114.08 2036.60 130.17
115.07 2037.00 112.68
28.57 2032.48 219.90
38.59 2032.96 191.90
116.05 2037.07 105.12
39.97 2032.59 200.56
117.70 2037.46 103.72
117.01 2037.26 102.74
42.03 2033.12 134.50
116.33 2037.28 102.82
34.65 2033.17 211.95
50.11 2032.12 233.37
119.65 2037.82 153.53
121.00 2037.85 184.66
51.71 2032.59 194.08
58.56 2032.94 190.57
121.69 2038.05 197.62
61.31 2033.23 198.85
122.38 2038.08 215.10
122.07 2037.80 201.44
69.88 2033.25 101.10
120.60 2037.56 175.37
62.32 2032.37 197.85
118.10 2037.25 107.09
35.25 2033.09 218.35
114.37 2036.96 119.93
69.31 2033.34 100.70
70.74 2031.76 218.96
124.22 2038.12 266.71
125.68 2038.75 301.60
74.68 2033.27 280.96
82.61 2033.61 213.85
126.72 2038.61 315.72
80.73 2033.50 214.83
127.83 2038.27 310.40
126.35 2038.74 307.08
85.88 2033.80 191.38
125.06 2038.66 295.91
71.60 2032.65 112.63
88.32 2034.15 138.94
127.36 2038.78 343.09
128.35 2039.01 328.19
94.42 2034.04 106.18
95.80 2033.01 200.00
131.36 2039.16 264.30
99.35 2034.63 206.20
132.18 2039.30 228.21
130.32 2039.46 338.62
106.07 2035.13 236.37
127.03 2038.93 336.94
96.42 2034.01 112.34
123.76 2038.28 268.76
80.68 2033.07 210.87
133.40 2039.78 197.37
133.68 2039.97 188.55
112.02 2036.52 160.54
112.42 2036.13 169.24
122.01 2037.28 214.45
132.45 2039.70 216.17
133.06 2039.88 200.31
134.73 2039.83 145.42
136.29 2040.24 107.13
120.78 2036.52 248.62
134.37 2039.94 154.69
119.35 2037.62 146.70
137.40 2040.18 103.80
136.65 2040.03 106.07
129.09 2039.19 331.58
131.25 2038.54 239.53
20.18 2032.19 141.55
137.71 2040.49 102.50
20.74 2032.76 103.82
138.07 2040.33 102.22
137.03 2040.36 104.11
20.68 2032.24 138.85
135.65 2040.26 115.13
133.04 2038.87 209.88
137.19 2039.32 127.19
121.67 2036.21 222.39
122.76 2037.91 226.59
97.01 2034.85 113.07
139.02 2040.70 101.00
35.83 2032.33 241.65
47.30 2033.23 170.95
47.86 2033.14 172.75
58.33 2032.32 201.35
46.36 2033.26 136.92
61.63 2032.79 225.06
57.63 2033.36 196.48
56.76 2032.07 222.43
54.34 2033.34 229.16
54.61 2032.79 233.47
65.03 2033.37 143.81
65.40 2032.69 150.39
65.83 2032.61 147.37
69.63 2032.91 102.87
66.99 2032.66 118.75
67.67 2033.42 103.35
63.32 2032.99 179.12
63.44 2032.51 185.58
61.02 2033.38 196.77
61.29 2032.87 218.55
69.02 2033.48 100.63
69.29 2033.00 102.64
76.88 2032.35 265.08
79.11 2032.78 231.70
75.64 2032.84 248.01
76.33 2033.61 405.61
73.70 2033.52 142.25
74.05 2032.86 199.13
72.03 2032.82 114.10
72.66 2033.20 113.48
77.69 2033.69 401.60
78.00 2033.20 286.58
82.40 2033.22 215.37
85.63 2033.43 203.09
81.70 2033.84 216.87
82.01 2033.32 217.85
85.01 2034.00 196.55
85.29 2033.51 202.16
93.00 2033.22 121.80
95.23 2033.64 154.66
91.74 2033.56 118.15
92.35 2034.44 101.49
89.71 2034.23 117.38
90.09 2033.52 137.42
88.05 2033.46 155.75
88.67 2033.86 134.22
93.71 2034.58 100.95
94.05 2034.10 104.98
97.44 2033.77 147.68
106.08 2033.34 249.71
100.41 2034.27 236.24
101.02 2035.24 238.84
98.34 2034.97 140.45
98.62 2034.34 178.65
96.80 2034.22 115.86
97.35 2034.62 117.22
111.04 2035.21 203.86
113.21 2035.84 179.06
109.79 2035.52 209.89
110.35 2036.41 190.65
107.03 2036.00 214.55
107.73 2035.48 215.94
105.40 2035.44 232.73
105.59 2035.03 236.65
106.90 2034.81 226.58
107.93 2035.87 206.31
103.04 2035.52 264.56
103.40 2035.06 261.32
116.51 2036.60 118.79
119.71 2037.26 153.40
115.72 2037.20 106.12
116.10 2036.67 119.80
111.71 2036.63 164.20
112.06 2036.16 170.38
119.04 2037.72 141.93
119.37 2037.28 149.71
124.46 2038.48 281.28
125.48 2038.24 293.24
125.88 2038.18 291.86
130.42 2038.83 275.86
126.98 2038.19 304.52
127.67 2039.02 345.70
125.09 2037.69 257.43
125.41 2038.57 298.30
121.36 2037.67 193.84
121.52 2037.18 211.00
122.97 2037.42 261.02
123.48 2038.00 264.50
135.03 2040.17 126.76
134.00 2038.88 208.09
134.99 2039.05 181.59
133.45 2039.44 214.63
135.94 2040.03 110.02
129.71 2039.37 340.88
130.06 2038.87 281.09
17.69 2033.07 135.18
17.97 2032.52 151.33
22.46 2032.42 170.28
25.72 2032.57 264.92
21.71 2033.15 103.42
22.06 2032.53 144.06
11.69 2032.86 270.09
11.96 2032.43 254.62
18.49 2031.96 170.60
17.99 2032.92 129.29
15.32 2032.67 187.29
15.40 2032.25 201.33
7.04 2032.59 470.71
7.40 2032.13 356.85
10.15 2032.23 320.58
10.70 2032.56 315.12
3.31 2032.13 127.96
3.23 2031.27 231.39
5.34 2032.09 283.98
5.54 2031.65 259.60
0.60 2030.97 263.94
0.53 2029.64 1164.98
24.74 2032.93 167.21
25.93 2032.06 195.57
32.61 2032.60 215.09
33.32 2032.99 219.03
30.26 2032.40 208.35
30.69 2033.20 264.93
26.52 2032.10 197.31
31.19 2032.29 213.23
40.75 2033.06 161.32
41.03 2032.63 169.77
44.30 2032.50 156.63
47.61 2032.80 198.02
43.63 2033.39 107.85
42.81 2032.41 167.19
39.34 2032.99 184.26
39.48 2032.55 200.44
37.33 2033.20 208.93
37.34 2032.84 211.82
34.03 2033.03 209.66
35.24 2032.24 239.20
33.06 2032.49 217.11
35.14 2030.78 267.76
50.69 2033.05 195.67
50.91 2032.60 190.41
46.70 2033.11 146.84
