0.892679	29.713270	330526.831315	4485176.135020
34.414313	7.856516	414639.538157	4428236.064519
1.413908	8.066016	330899.425342	4430173.808849
33.011005	28.370658	411885.987377	4480363.316712
17.481337	7.903764	371623.500881	4429055.741043
17.588801	29.506804	372780.639289	4483934.493233
1.540194	18.955819	331699.214454	4457838.883300
33.166166	19.067389	411894.104178	4456731.242557
17.164483	18.761865	371329.467580	4456665.220962
10.052179	14.030578	353048.441236	4444983.574400
25.506004	24.156304	392673.106740	4469987.683053
9.220570	24.759352	351442.376984	4472209.452050
26.296285	13.639288	394263.064885	4443259.990721
