x z velocity
56.98 2064.67 112.73
18.60 2067.01 111.09
65.57 2063.62 103.41
5.98 2066.74 120.01
64.95 2063.76 102.76
35.30 2064.68 132.86
66.31 2063.48 104.39
53.02 2065.14 103.51
70.96 2063.13 104.54
67.83 2063.19 118.95
66.99 2063.53 103.76
59.67 2064.23 103.69
27.25 2065.64 187.63
24.60 2066.32 121.40
68.22 2063.30 122.94
65.88 2063.30 105.42
12.60 2067.03 112.69
21.66 2066.98 121.93
58.98 2064.39 103.34
28.66 2063.45 570.98
58.35 2064.48 104.22
38.90 2063.30 236.57
60.00 2064.05 105.81
76.70 2062.70 113.99
65.19 2063.52 103.67
39.77 2064.71 137.84
61.17 2063.94 103.94
61.56 2064.02 103.75
26.19 2064.94 330.03
5.69 2067.29 103.18
63.34 2063.61 109.75
62.28 2063.86 107.68
76.12 2062.15 274.68
38.72 2064.38 182.73
60.33 2064.24 102.82
68.96 2063.10 166.51
57.67 2064.49 108.79
45.40 2065.09 128.29
56.28 2064.70 111.82
11.81 2066.30 324.37
44.45 2064.13 279.79
15.36 2066.98 145.49
12.68 2066.57 283.18
13.33 2067.01 115.33
10.89 2066.41 255.00
11.04 2067.32 106.11
8.75 2066.62 205.91
9.36 2066.96 124.95
5.02 2067.16 103.93
5.98 2067.13 103.78
3.72 2066.70 124.45
7.58 2065.57 504.99
3.91 2067.07 105.60
4.62 2066.92 105.07
67.12 2061.31 312.50
85.45 2060.70 341.40
77.69 2063.03 106.61
77.96 2062.50 125.31
78.36 2062.34 125.41
82.64 2062.05 246.48
79.55 2062.23 157.91
80.31 2062.97 113.33
73.03 2062.90 105.12
73.98 2062.86 109.92
70.99 2062.54 121.95
75.01 2062.10 270.70
69.73 2063.14 120.46
70.63 2062.68 124.10
89.74 2060.91 152.25
91.65 2061.47 104.91
88.35 2062.10 104.48
85.65 2062.51 103.22
85.81 2061.88 142.72
81.67 2062.90 112.45
81.89 2062.28 178.12
50.30 2065.37 118.91
51.30 2065.29 124.32
54.98 2064.98 102.33
55.19 2064.27 128.88
53.56 2063.95 182.12
59.09 2063.71 128.69
53.34 2064.95 103.07
53.60 2064.64 103.72
63.69 2063.77 108.29
64.63 2063.65 103.24
69.54 2062.22 355.41
70.65 2063.01 105.67
67.61 2063.46 104.91
66.62 2062.42 292.69
58.01 2064.26 106.78
58.23 2063.80 128.06
59.40 2063.26 404.23
64.59 2063.32 112.11
60.95 2064.17 102.46
60.90 2063.67 111.25
33.31 2064.72 183.65
33.40 2064.23 233.78
28.00 2065.63 135.24
27.83 2064.87 263.78
26.16 2065.51 188.80
33.87 2064.19 230.21
25.25 2066.16 118.63
25.35 2065.72 164.30
21.27 2066.70 130.21
22.25 2065.86 356.21
18.98 2065.02 437.15
29.29 2063.26 600.45
16.97 2067.23 113.15
17.96 2067.07 113.40
32.69 2063.89 281.53
39.67 2061.86 392.40
38.63 2063.86 183.52
43.11 2064.10 164.58
44.84 2064.94 126.17
45.03 2064.19 299.80
48.39 2064.65 269.80
51.65 2064.86 148.14
47.69 2065.42 113.60
47.94 2064.71 270.02
41.87 2063.66 272.12
45.89 2064.67 163.85
14.35 2067.31 133.21
14.65 2066.71 214.50
15.12 2066.56 217.55
19.05 2066.39 250.58
16.35 2066.77 139.46
16.64 2067.09 115.60
10.35 2066.42 249.45
11.35 2067.19 106.99
7.11 2066.21 282.57
11.71 2066.77 137.71
5.37 2066.98 104.39
6.52 2066.17 267.94
91.34 2060.68 165.27
6.25 2064.87 574.00
3.03 2064.78 475.51
93.84 2060.86 145.67
77.39 2062.76 109.49
77.58 2062.41 128.76
80.00 2062.37 153.86
80.63 2062.68 118.13
73.39 2062.74 106.27
74.48 2062.07 265.10
71.04 2062.06 286.29
81.82 2061.42 273.83
71.92 2062.74 108.00
71.99 2062.24 214.27
70.08 2062.97 114.85
70.11 2062.20 327.47
87.43 2061.28 253.84
92.35 2061.29 118.24
92.75 2060.03 193.87
85.25 2062.31 103.28
85.37 2061.88 143.93
81.32 2062.65 117.15
82.23 2061.90 274.56
80.42 2062.27 152.23
89.10 2057.87 451.81
50.64 2065.20 121.79
50.79 2064.36 251.08
54.58 2064.76 102.65
54.72 2064.25 129.61
56.60 2064.45 113.45
56.68 2064.03 155.93
64.03 2063.60 106.63
65.07 2062.78 160.18
61.86 2062.69 152.50
69.16 2061.65 295.92
67.27 2063.34 104.89
67.21 2063.00 121.84
57.17 2063.96 152.34
63.23 2063.20 134.13
62.61 2063.64 109.30
62.72 2063.20 133.76
60.61 2064.08 102.82
60.57 2063.78 112.76
28.13 2065.22 177.18
27.28 2065.06 275.51
24.35 2065.39 293.58
27.99 2064.34 365.43
21.41 2066.25 185.33
21.30 2065.69 498.54
17.30 2067.05 116.14
18.16 2066.33 263.42
40.40 2064.27 148.81
40.76 2063.46 256.62
42.14 2062.88 382.91
52.40 2064.41 205.10
49.36 2065.26 117.99
49.67 2064.98 126.16
51.39 2064.03 223.71
58.27 2062.67 332.52
47.42 2065.20 113.35
47.59 2064.68 262.66
14.03 2067.03 122.14
14.23 2066.62 208.80
15.15 2065.86 589.98
21.93 2065.36 477.69
8.26 2065.76 573.71
14.02 2066.15 448.98
5.58 2066.59 120.61
5.46 2065.98 353.38
89.35 2060.57 208.50
91.26 2061.22 105.07
93.75 2059.98 186.55
4.84 2065.80 380.46
75.87 2061.71 266.31
80.68 2061.71 344.53
77.83 2061.64 244.82
78.36 2061.91 248.64
73.60 2062.40 129.74
73.50 2061.86 271.35
68.20 2062.34 224.28
86.21 2057.64 464.92
90.23 2061.71 103.72
88.22 2061.54 142.68
87.99 2061.17 260.09
92.70 2061.06 123.59
90.51 2061.35 104.68
86.21 2061.67 143.16
93.53 2058.63 340.01
84.33 2061.60 198.01
82.08 2060.61 297.64
81.45 2062.25 176.90
81.25 2061.72 335.90
51.48 2063.34 299.09
57.34 2063.48 212.47
64.21 2063.24 113.73
64.03 2062.75 175.69
67.11 2062.05 244.18
68.45 2061.71 293.24
