x z velocity
73.02 -0.17 527.76
80.23 -0.22 397.40
80.96 -0.30 375.66
73.33 -0.77 524.46
79.85 -0.35 402.11
42.37 -0.27 745.83
78.68 -0.41 447.12
47.37 -0.50 813.45
75.01 -0.18 517.18
58.64 -0.46 768.45
77.22 -0.34 477.52
81.66 -0.21 359.46
75.38 -0.42 513.82
84.35 -0.24 301.97
83.03 -0.19 325.69
74.80 -0.83 519.88
71.40 -0.89 550.24
85.01 -0.14 273.10
69.31 -0.26 580.43
86.23 -0.22 217.75
86.96 -0.32 179.95
80.26 -1.04 413.49
85.86 -0.36 224.71
68.36 -0.23 591.24
84.69 -0.38 293.53
71.30 -0.48 551.37
79.62 -0.14 419.21
87.67 -0.21 150.79
76.35 -0.14 498.23
92.37 -0.19 326.92
88.35 -0.28 127.65
78.75 -1.20 453.73
84.15 -1.31 296.72
90.23 -0.26 125.03
85.62 -0.14 248.78
91.57 -1.32 234.70
91.74 -0.28 171.94
84.77 -1.17 289.85
90.98 -0.39 138.48
87.18 -1.55 234.52
89.85 -0.42 125.10
76.64 -0.59 496.27
88.01 -0.49 138.56
83.39 -0.82 320.21
82.01 -0.49 350.78
71.89 -0.87 549.20
82.71 -0.47 335.91
65.67 -0.64 651.78
82.96 -0.93 326.19
23.07 -2.08 1346.72
3.66 -0.17 1022.68
92.10 -0.47 200.31
3.88 -0.78 1039.44
14.67 -0.68 1434.13
11.70 -0.16 1329.69
8.41 -0.24 1234.71
9.36 -0.68 1261.28
8.86 -1.20 1241.66
9.36 -0.31 1258.66
6.71 -0.86 1168.00
7.33 -0.52 1191.71
15.13 -2.45 1436.86
13.40 -0.48 1389.21
4.43 -1.38 1082.66
3.94 -0.35 1043.87
12.32 -0.17 1349.15
14.04 -0.34 1417.54
21.18 -1.21 1374.83
20.66 -0.31 1383.22
17.63 -0.15 1429.48
16.81 -1.29 1444.58
20.09 -0.40 1395.17
20.10 -1.21 1403.26
16.23 -1.52 1444.41
27.70 -2.25 1248.70
24.80 -0.37 1295.55
24.39 -1.12 1298.61
27.31 -0.84 1245.35
27.98 -0.44 1231.04
32.12 -1.29 1137.28
31.49 -2.68 1179.96
32.30 -0.81 1110.63
33.28 -0.48 1073.29
28.67 -0.41 1222.67
29.71 -1.20 1206.29
27.75 -0.92 1241.36
32.66 -0.72 1104.46
35.02 -0.15 1000.99
35.30 -0.68 994.00
40.38 -0.93 804.59
43.65 -0.73 743.79
39.68 -0.18 815.94
39.97 -0.81 811.12
38.02 -0.80 880.94
38.64 -0.48 853.36
53.02 -0.19 1036.39
53.34 -0.83 1037.62
53.75 -0.93 1034.82
56.66 -0.34 864.96
54.79 -0.89 975.37
55.36 -0.46 944.01
51.32 -0.53 1044.70
51.45 -0.99 1051.16
49.03 -0.14 971.78
49.32 -0.63 991.12
61.73 -0.26 701.87
62.72 -0.61 692.07
66.37 -0.97 640.37
69.61 -0.64 579.57
65.64 -0.13 648.38
64.88 -1.15 672.76
56.04 -0.43 905.75
56.27 -0.85 878.89
60.03 -1.29 732.29
62.68 -0.28 692.90
60.83 -0.95 714.01
61.42 -0.47 708.04
59.31 -0.46 750.15
59.40 -0.86 746.20
49.84 -1.12 1020.72
49.33 -0.29 985.02
46.67 -0.49 766.66
46.80 -0.96 789.79
45.30 -0.54 734.05
45.41 -1.02 762.30
43.02 -0.15 739.85
43.31 -0.65 743.71
72.70 -0.44 529.77
72.92 -0.86 524.64
68.71 -0.37 588.83
69.74 -1.02 576.53
81.28 -0.51 367.42
81.38 -0.95 367.93
79.30 -0.28 425.63
79.26 -0.60 429.91
76.05 -0.38 506.74
77.15 -1.06 482.93
74.02 -1.31 521.98
82.07 -1.43 360.44
89.25 -2.52 299.86
92.72 -0.44 374.10
89.58 -0.79 140.26
90.54 -0.65 136.70
87.29 -0.53 165.61
87.40 -0.99 187.43
85.30 -0.28 258.78
85.27 -0.59 273.27
81.88 -0.94 366.30
87.69 -1.97 224.14
3.30 -0.44 1005.57
2.35 -0.88 976.21
3.42 -1.91 1060.72
7.13 -0.98 1173.19
10.87 -1.14 1305.17
14.64 -0.32 1428.63
8.78 -0.39 1240.05
8.31 -1.16 1234.70
4.28 -2.75 1101.22
9.84 -1.37 1278.95
3.57 -3.22 1094.61
14.37 -0.87 1427.82
13.03 -0.31 1378.20
15.26 -1.16 1439.80
12.52 -1.45 1348.57
21.14 -2.34 1388.04
17.31 -0.30 1431.83
17.29 -0.64 1434.98
20.30 -0.79 1388.23
19.53 -1.18 1405.91
24.51 -2.42 1305.24
26.84 -2.21 1255.13
25.90 -1.22 1273.19
26.53 -1.36 1268.46
35.85 -1.19 964.51
35.32 -0.31 990.06
29.35 -2.46 1211.27
36.43 -1.13 958.20
28.86 -0.76 1215.36
28.72 -1.27 1220.46
34.74 -0.39 1019.46
33.71 -1.66 1073.99
34.72 -1.19 1031.99
38.64 -1.55 863.89
41.32 -0.52 770.36
41.45 -0.99 769.80
39.34 -0.48 830.88
39.54 -0.92 817.61
41.79 -2.04 788.64
43.34 -1.65 765.30
52.71 -0.47 1044.21
52.94 -0.93 1041.28
48.77 -0.36 948.81
48.80 -1.08 904.85
47.26 -0.97 794.63
54.61 -1.42 1017.18
62.10 -0.41 699.58
63.30 -1.05 686.98
61.34 -0.94 712.35
65.59 -2.01 659.49
67.33 -0.46 610.53
67.47 -0.84 604.01
66.72 -1.40 624.57
73.26 -3.23 543.60
65.33 -0.27 653.97
65.33 -0.58 654.94
55.26 -0.87 970.59
60.53 -1.36 726.40
42.72 -0.43 744.15
43.80 -1.15 759.01
41.96 -0.96 767.37
49.04 -1.52 950.03
75.14 -1.66 518.89
75.29 -0.81 519.03
79.26 -1.47 443.38
79.38 -2.12 453.20
76.26 -0.70 500.41
76.10 -1.20 510.51
89.62 -0.16 118.43
88.67 -1.39 195.65
84.89 -0.70 277.13
90.26 -1.29 187.67
93.78 -0.33 589.07
85.26 -1.47 279.06
89.16 -1.75 196.54
3.46 -0.87 1033.15
2.60 -0.45 974.97
11.45 -1.22 1310.20
12.02 -0.70 1333.97
11.66 -0.77 1329.14
12.68 -0.48 1363.75
9.75 -0.82 1265.89
10.70 -2.55 1306.78
7.96 -1.70 1201.31
6.78 -2.14 1159.50
25.05 -0.70 1285.57
20.36 -1.69 1393.49
25.39 -1.53 1282.73
32.56 -1.81 1107.71
33.04 -0.87 1097.73
34.95 -0.77 1001.07
34.15 -1.12 1039.49
35.79 -2.33 993.53
42.29 -1.48 762.67
55.08 -1.75 990.59
55.50 -1.30 944.59
48.98 -0.71 985.35
48.27 -1.03 891.83
62.36 -0.73 693.85
62.31 -1.24 700.25
68.91 -0.67 583.31
68.75 -1.13 590.89
65.42 -1.39 664.31
67.96 -0.80 602.19
42.94 -0.78 744.38
42.82 -1.35 762.56
78.87 -0.73 434.92
79.72 -1.06 419.29
89.29 -0.32 119.32
89.25 -0.70 139.86
91.38 -0.67 152.14
93.00 -1.18 290.32
11.88 -1.74 1337.07
85.72 -1.09 260.13
12.46 -0.86 1340.29
9.01 -0.75 1256.90
9.30 -1.67 1266.56
1.28 -0.43 927.07
1.92 -0.82 971.84
13.62 -0.82 1411.54
1.40 -1.41 988.37
13.75 -1.35 1397.93
16.91 -0.78 1436.74
17.75 -1.15 1435.46
24.08 -1.69 1325.02
29.22 -1.62 1213.93
64.95 -0.70 659.25
65.83 -1.00 644.08
76.92 -2.28 499.03
83.07 -2.16 348.18
87.90 -0.96 185.63
91.23 -1.94 249.31
92.13 -1.37 240.82
92.70 -0.88 272.49
93.02 -0.24 474.37
82.68 -1.45 356.27
86.10 -2.37 300.07
8.33 -2.55 1234.00
14.81 -1.63 1423.83
0.97 -0.23 917.39
2.54 -1.35 1018.69
2.36 -2.58 1067.42
3.16 -1.35 1022.40
0.22 -0.33 904.99
13.23 -1.78 1364.05
17.32 -1.58 1443.73
20.64 -2.76 1400.77
22.28 -3.31 1372.36
62.62 -2.85 714.97
69.25 -1.41 585.26
88.87 -0.82 140.93
89.69 -1.27 186.30
91.62 -2.64 290.29
93.78 -1.49 289.25
92.31 -0.91 260.60
93.47 -0.58 497.57
0.52 -0.56 914.40
0.92 -1.04 961.27
1.25 -0.81 962.51
1.58 -1.02 969.74
85.33 -2.21 307.64
93.39 -2.94 312.96
92.51 -1.87 267.42
93.47 -1.07 301.26
0.51 -1.00 958.38
0.97 -1.41 986.21
0.21 -1.44 979.08
1.56 -1.82 1020.98
0.26 -2.50 1050.05
4.07 -1.93 1064.48
0.56 -1.70 987.59
0.60 -2.09 1030.30
0.62 -2.95 1070.07
1.17 -2.22 1030.57
22.08 -1.71 1361.18
22.61 -1.62 1355.98
60.78 -1.89 719.77
61.75 -1.39 704.63
74.60 -1.28 521.24
75.59 -1.27 513.14
70.62 -1.46 565.47
71.65 -1.70 555.29
54.04 -1.46 1027.73
56.36 -1.83 885.69
50.74 -1.64 1042.30
53.00 -2.00 1061.97
59.85 -0.87 743.91
62.89 -1.50 696.30
58.72 -1.33 768.83
57.84 -1.30 803.50
45.89 -0.99 762.97
46.58 -1.36 783.86
44.64 -1.61 776.30
43.60 -2.36 805.61
80.57 -1.53 392.26
81.14 -1.45 385.24
86.58 -1.63 241.26
88.16 -1.48 199.70
19.55 -2.40 1414.34
16.70 -2.90 1461.30
25.28 -2.27 1295.84
32.28 -2.66 1173.72
40.60 -1.58 799.35
41.20 -1.61 794.73
67.29 -1.30 620.17
68.25 -1.21 593.67
72.96 -1.87 531.47
74.12 -2.69 521.44
30.73 -3.23 1193.85
36.81 -1.67 931.36
35.57 -1.67 1000.13
34.98 -1.67 1005.07
45.19 -1.53 777.16
47.25 -1.85 815.38
58.29 -1.70 786.62
63.25 -2.20 691.61
67.82 -1.61 611.73
68.48 -9.16 973.09
39.28 -1.56 854.86
48.81 -2.09 888.66
9.12 -2.48 1245.05
18.14 -2.43 1450.75
1.19 -2.74 1069.23
3.02 -2.61 1070.30
92.34 -2.52 292.47
93.67 -2.45 300.06
92.99 -1.72 273.91
93.45 -1.95 278.90
20.92 -1.69 1390.96
24.61 -4.36 1324.12
16.00 -2.41 1447.66
21.75 -2.41 1383.69
56.04 -1.30 934.19
61.48 -1.93 718.26
72.65 -1.32 542.08
71.71 -2.46 563.08
71.20 -1.36 561.99
69.40 -2.08 589.55
67.80 -2.33 621.19
73.68 -1.88 528.16
52.70 -1.42 1060.60
55.30 -2.40 964.67
51.95 -2.64 1063.17
57.01 -1.85 875.06
51.27 -1.56 1048.41
51.74 -1.91 1055.06
49.57 -1.54 962.05
50.61 -3.06 1004.10
59.16 -1.33 763.51
59.69 -2.32 761.90
58.14 -2.51 821.01
59.56 -1.68 749.45
45.49 -1.98 792.49
49.76 -2.12 964.41
44.86 -2.88 816.62
50.38 -2.25 985.21
81.59 -1.85 372.13
81.54 -2.69 414.90
76.00 -2.99 511.32
83.88 -2.07 340.88
84.56 -2.66 325.75
87.63 -2.97 318.18
19.20 -1.74 1424.18
20.14 -2.31 1409.60
18.46 -3.12 1446.61
20.56 -6.43 1478.57
13.33 -2.81 1367.08
19.24 -3.07 1443.42
35.26 -2.77 1017.82
43.07 -3.31 833.87
61.69 -2.62 718.50
64.11 -2.14 689.14
34.04 -2.37 1048.25
34.74 -2.30 1038.07
31.20 -1.82 1188.92
39.93 -2.10 830.59
32.83 -3.34 1143.07
39.90 -3.19 892.96
48.00 -1.47 833.52
45.95 -1.87 794.62
49.26 -2.49 925.98
53.71 -2.04 1058.38
47.92 -2.57 855.90
48.06 -3.31 909.77
46.80 -1.81 812.42
48.29 -2.09 877.32
56.75 -3.08 896.31
60.93 -3.01 730.27
45.43 -2.58 817.90
47.38 -2.39 847.43
46.21 -2.31 817.84
46.61 -2.27 821.11
44.37 -2.35 805.36
48.71 -3.59 926.09
46.96 -2.66 840.80
46.84 -3.28 871.12
45.92 -2.79 822.46
46.20 -3.37 866.22
5.51 -1.93 1125.42
14.41 -3.23 1383.27
37.44 -1.52 919.68
36.90 -3.28 968.90
9.92 -3.12 1276.21
8.50 -10.75 1324.65
0.37 -3.45 1115.53
86.64 -3.29 325.45
92.65 -3.79 371.99
72.46 -2.62 556.95
92.76 -3.03 311.38
80.14 -2.20 445.03
53.91 -2.87 1061.54
60.41 -2.46 754.00
53.20 -3.33 1068.32
57.40 -2.65 836.28
74.99 -2.51 517.09
91.91 -4.13 373.27
18.57 -1.73 1428.22
17.43 -2.29 1453.96
56.04 -2.48 950.41
70.87 -2.81 573.84
47.40 -3.74 893.12
59.39 -4.06 809.85
1.19 -5.91 1194.76
1.80 -3.05 1073.73
70.23 -2.15 585.71
91.00 -5.66 526.88
52.66 -2.73 1063.91
54.72 -3.06 1054.08
49.29 -3.12 950.71
51.42 -3.32 1026.36
58.92 -2.93 796.77
68.89 -3.85 635.05
70.28 -3.92 626.02
82.42 -2.99 401.58
55.09 -4.06 1059.96
57.06 -4.97 951.92
51.86 -4.66 1068.19
52.93 -4.59 1086.37
26.09 -2.81 1278.66
33.75 -3.12 1125.02
0.69 -6.97 1231.62
6.17 -1.71 1138.71
23.07 -3.06 1361.49
19.73 -3.90 1437.31
66.35 -2.05 653.31
68.66 -2.67 609.76
42.01 -3.09 840.91
37.89 -3.07 953.76
78.57 -2.71 483.20
80.67 -2.96 427.60
83.06 -4.19 438.04
90.44 -3.55 355.50
65.12 -3.62 704.42
66.91 -2.66 630.82
36.18 -4.15 1045.97
38.07 -2.03 895.00
4.06 -4.92 1175.05
7.91 -4.15 1210.65
5.63 -5.68 1207.61
11.56 -2.60 1316.26
88.48 -3.35 320.73
93.28 -4.03 377.19
13.35 -7.52 1326.58
93.72 -3.48 346.55
18.97 -4.70 1471.11
20.54 -3.68 1429.05
49.01 -4.47 968.61
50.01 -3.56 973.25
43.85 -4.31 857.12
44.88 -3.88 861.64
2.92 -6.22 1202.34
0.50 -4.94 1174.23
33.86 -4.89 1190.56
35.21 -3.70 1070.91
92.86 -5.73 506.93
18.07 -4.12 1458.68
17.01 -4.04 1449.86
21.56 -4.15 1417.01
47.38 -4.69 927.28
56.38 -4.00 1039.86
49.89 -4.44 977.33
50.92 -5.27 1022.66
30.69 -4.38 1229.22
48.34 -5.14 941.08
93.56 -4.88 465.49
91.30 -3.49 353.80
12.30 -3.35 1349.41
89.94 -4.27 418.45
38.16 -9.74 1199.65
23.93 -3.34 1350.55
28.46 -2.96 1227.46
7.86 -3.18 1190.48
9.84 -4.32 1242.15
90.54 -1.93 246.70
90.06 -2.69 299.18
62.83 -3.84 743.90
64.86 -2.54 683.71
54.02 -5.12 1110.04
61.66 -4.60 768.13
1.33 -11.38 1299.27
9.37 -9.59 1316.39
64.13 -4.34 734.08
71.28 -5.01 613.00
41.03 -5.48 985.92
45.73 -4.17 869.24
73.07 -4.47 602.30
77.82 -4.90 545.32
5.03 -4.73 1177.41
6.94 -2.91 1181.34
32.76 -4.47 1199.45
34.39 -3.98 1093.24
30.53 -1.78 1192.17
30.09 -2.60 1206.50
46.35 -5.02 919.92
48.62 -6.44 996.84
34.21 -6.01 1194.27
38.75 -3.82 919.85
29.50 -5.06 1246.76
42.22 -6.27 967.68
41.06 -3.89 871.05
37.61 -5.88 1080.14
12.16 -4.69 1297.86
14.63 -4.63 1370.92
78.74 -3.64 511.35
85.70 -4.43 420.83
84.39 -3.96 425.86
93.30 -6.86 673.92
87.85 -6.00 601.99
90.16 -8.95 830.81
47.40 -7.37 987.92
50.93 -8.00 1104.85
60.69 -4.00 795.78
80.53 -13.91 1264.98
5.07 -6.85 1230.80
16.07 -5.09 1391.80
6.45 -3.67 1173.51
6.98 -4.52 1204.40
8.46 -6.09 1242.85
5.06 -11.25 1322.17
5.51 -3.69 1167.76
8.71 -4.83 1230.85
5.71 -7.70 1253.38
10.62 -6.79 1282.67
3.39 -4.12 1156.61
0.86 -4.06 1142.97
6.65 -5.49 1210.94
7.32 -6.38 1237.14
1.73 -3.86 1142.82
2.23 -5.65 1195.04
2.83 -8.28 1264.02
6.84 -9.37 1290.02
6.94 -7.42 1255.72
9.29 -7.11 1273.61
2.41 -4.48 1155.16
0.68 -9.92 1284.44
3.77 -5.85 1203.55
88.79 -4.24 422.76
91.84 -5.23 509.06
53.99 -13.49 1247.57
47.42 -10.90 1098.67
36.42 -5.43 1103.21
44.78 -6.77 967.14
31.82 -5.11 1217.54
46.09 -6.41 970.55
80.08 -3.81 507.71
90.54 -10.64 966.36
54.12 -7.94 1149.86
59.06 -6.65 993.44
7.18 -10.51 1322.34
31.93 -6.76 1256.03
1.38 -8.23 1264.25
10.92 -5.26 1272.77
5.62 -8.92 1288.05
27.05 -4.83 1283.88
3.33 -7.20 1232.03
4.18 -6.83 1228.88
86.30 -5.88 595.95
90.17 -5.09 530.02
44.13 -8.22 1043.21
50.33 -6.61 1005.25
43.90 -12.93 1337.35
7.54 -8.39 1282.04
82.08 -5.35 534.83
90.62 -6.68 645.63
89.46 -5.61 558.96
89.60 -6.51 645.17
12.37 -15.41 1442.05
8.75 -8.37 1284.17
88.57 -5.11 569.67
88.70 -8.34 840.85
83.84 -7.66 711.81
91.10 -7.83 768.47
88.62 -7.05 656.83
92.19 -11.16 959.60
93.20 -9.62 885.24
92.50 -7.98 767.37
9.44 -14.80 1401.57
29.45 -6.48 1308.32
28.34 -4.21 1265.42
26.91 -6.49 1367.31
26.00 -3.98 1308.39
16.43 -6.77 1406.85
37.93 -7.18 1130.05
41.31 -9.13 1129.53
0.71 -14.85 1380.21
3.43 -9.64 1288.11
66.40 -3.70 697.82
74.38 -7.41 774.14
72.21 -8.00 785.06
86.22 -8.82 873.02
39.78 -6.06 1010.95
24.23 -5.75 1414.13
44.91 -9.86 1097.43
58.63 -5.04 934.05
76.30 -4.59 552.66
80.42 -5.00 538.21
57.20 -8.73 1237.04
78.87 -5.95 547.38
60.82 -7.16 960.93
67.53 -4.55 672.52
4.26 -12.18 1325.04
84.32 -16.97 1335.06
92.98 -13.04 1087.37
87.21 -19.53 1394.33
85.83 -17.27 1330.03
61.24 -9.02 1092.39
90.06 -19.90 1391.42
8.72 -18.65 1456.22
25.48 -7.05 1392.44
87.92 -10.81 1020.13
82.77 -11.81 1114.18
80.91 -8.14 736.82
89.39 -11.57 1007.74
8.53 -17.21 1433.45
7.82 -13.12 1365.25
8.08 -14.47 1398.31
69.16 -18.12 1559.69
35.46 -6.40 1177.08
38.67 -5.10 1038.09
46.96 -13.76 1324.62
11.09 -9.72 1318.68
56.41 -6.30 1144.79
55.49 -9.17 1211.55
54.66 -6.39 1158.27
53.85 -11.62 1181.63
48.49 -9.63 1089.05
49.09 -23.52 1706.81
57.58 -7.41 1063.51
84.61 -14.12 1231.06
17.44 -13.07 1434.75
46.36 -9.96 1091.17
2.62 -11.05 1300.51
87.50 -13.36 1152.09
89.20 -13.25 1146.07
43.63 -5.56 954.24
42.45 -7.91 1053.28
39.31 -7.30 1120.11
41.91 -10.72 1187.50
34.36 -22.00 1634.18
47.42 -8.68 1074.51
42.28 -13.41 1341.02
52.44 -10.68 1157.31
68.82 -7.28 797.45
79.02 -7.49 739.71
47.89 -12.35 1212.00
15.85 -13.55 1429.17
11.51 -11.20 1379.28
19.20 -5.98 1470.45
87.61 -9.26 883.09
85.47 -11.38 1095.27
66.68 -9.90 988.40
66.72 -15.29 1426.59
15.49 -10.09 1412.41
17.28 -16.54 1464.08
75.44 -14.32 1326.02
37.05 -8.52 1215.23
85.43 -7.28 710.41
85.14 -9.93 904.56
82.42 -6.95 695.83
83.79 -9.37 897.55
74.73 -5.54 588.88
78.62 -10.76 982.26
85.75 -21.71 1455.47
92.07 -14.36 1150.16
60.27 -12.20 1293.91
81.27 -12.30 1111.51
66.12 -18.93 1620.70
74.69 -10.99 1018.49
63.18 -9.75 1053.42
63.28 -11.55 1217.91
72.43 -20.70 1587.04
50.74 -14.34 1302.09
28.48 -8.88 1414.93
10.16 -12.38 1373.11
64.31 -14.21 1370.31
17.44 -10.27 1418.77
64.83 -12.49 1193.61
90.23 -14.35 1154.67
18.03 -7.21 1427.55
39.76 -8.73 1148.44
33.69 -14.46 1553.00
66.46 -11.81 1155.38
12.82 -12.28 1395.30
33.23 -7.24 1242.68
